"category_id";"book_id"
1;37
1;38
1;45
1;46
1;47
1;48
1;49
1;50
1;51
1;52
1;53
1;54
2;39
2;40
2;41
2;42
2;43
2;44
3;55
3;56
3;57
3;58
3;59
3;60
3;61
3;62
3;63
3;64
3;65
3;66
3;67
3;68
3;69
3;70
3;71
3;72
4;73
4;74
4;75
4;76
4;77
4;78
4;79
4;84
4;85
4;86
4;87
4;88
4;89
4;90
4;91
4;92
4;96
4;97
4;98
4;99
4;100
4;101
4;102
4;103
4;104
4;105
4;106
5;80
5;81
5;82
5;83
6;93
6;94
6;95
7;143
7;144
7;145
7;147
7;148
7;150
7;151
7;152
7;153
7;154
7;155
7;156
7;157
7;158
7;159
7;160
8;125
8;126
8;127
8;128
8;130
8;131
8;132
8;134
8;135
8;136
8;137
8;138
8;139
8;141
8;142
9;129
9;133
9;140
10;146
10;149
11;179
11;180
11;181
11;182
11;183
11;184
11;185
11;186
11;187
11;188
11;189
11;190
11;191
11;192
11;193
11;194
11;195
11;196
12;161
12;162
12;163
12;164
12;165
12;166
12;167
12;168
12;169
12;170
12;171
12;172
12;173
12;174
12;175
12;176
12;177
12;178
13;113
13;115
13;117
13;120
14;107
14;108
14;109
14;110
14;111
14;112
14;114
14;116
14;118
14;119
14;121
14;122
14;123
14;124
